Árvores/Profundidade, Média Validação Cruzada, Desvio-Padrão Validação Cruzada, Média Erro Absoluto, R², Variância Explicada
30 / 55 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
30 / 60 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
30 / 65 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
30 / 70 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
30 / 75 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
30 / 80 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
30 / 85 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
30 / 90 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
30 / 95 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
35 / 5 , 0.829903009322 , 0.0839674620295 , 42808.0324971 , 0.751021131326 , 0.760718485356
35 / 10 , 0.860637059506 , 0.0694422112465 , 31054.8694139 , 0.782651295162 , 0.790876661075
35 / 15 , 0.862709333341 , 0.0709531196302 , 30524.4079411 , 0.798274526646 , 0.804969660348
35 / 20 , 0.859783652977 , 0.0766484595175 , 30501.3977308 , 0.777405771606 , 0.784135824112
35 / 25 , 0.861453463521 , 0.0740392511481 , 30273.5789616 , 0.788729943347 , 0.795513593204
35 / 30 , 0.861316556175 , 0.074794000554 , 30385.9632891 , 0.789096113334 , 0.795509209364
35 / 35 , 0.861301201625 , 0.0747919288356 , 30515.8468277 , 0.786769263244 , 0.793222580332
35 / 40 , 0.861301201625 , 0.0747919288356 , 30515.8468277 , 0.786769263244 , 0.793222580332
35 / 45 , 0.861301201625 , 0.0747919288356 , 30515.8468277 , 0.786769263244 , 0.793222580332
35 / 50 , 0.861301201625 , 0.0747919288356 , 30515.8468277 , 0.786769263244 , 0.793222580332
35 / 55 , 0.861301201625 , 0.0747919288356 , 30515.8468277 , 0.786769263244 , 0.793222580332
35 / 60 , 0.861301201625 , 0.0747919288356 , 30515.8468277 , 0.786769263244 , 0.793222580332
35 / 65 , 0.861301201625 , 0.0747919288356 , 30515.8468277 , 0.786769263244 , 0.793222580332
35 / 70 , 0.861301201625 , 0.0747919288356 , 30515.8468277 , 0.786769263244 , 0.793222580332
35 / 75 , 0.861301201625 , 0.0747919288356 , 30515.8468277 , 0.786769263244 , 0.793222580332
35 / 80 , 0.861301201625 , 0.0747919288356 , 30515.8468277 , 0.786769263244 , 0.793222580332
35 / 85 , 0.861301201625 , 0.0747919288356 , 30515.8468277 , 0.786769263244 , 0.793222580332
